# vs_cfr 2960003-dirty seed=1 samples=128 throttle_ms=500 shim=/home/jdh8/.dotnet/dotnet /home/jdh8/src/hearts-engine/tournament/CfrShim/bin/Release/net10.0/CfrShim.dll
pair,seating,direction,deal_seed,cfr_seats,north,east,south,west,shooter,shooter_side,mc_attempts,mc_passes,passes_nesw,plays_by_trick,cfr_payoff
16,1,left,16390740445785211217,NS,1,20,5,0,,,0,0,8CACQH/JDKDKS/2CTCJC/KC9DAS,W2CNKCEACS7C/E6SS9SW5SNAS/NTDEJSS7DW8D/N6CE5CSTHW4C/N5HEJHS9HW8H/E7SS8SW6DN3S/S3HW2HNQSEAH/E8CSKSWTCNTS/W2DN4DEKHSAD/S4SW6HN2SEQH/S5DW4HN3DE7H/SKDWJCN9DEQC/SJDW3CNQDE9C,4.666667
17,0,right,9344711191398858084,EW,26,0,26,26,E,cfr,0,0,TDADKS/2CQC7D/AC9HKH/4CTCKC,N2CE8CSKCWAS/S5SW4SN7SE6S/N9SEQSS6HW3S/EQHSKDW3HNJH/EKHSJDW2HNTH/EACSJCW8SNQC/EAHSTCWTDN8H/E7HS9DWADN5H/E9HS9CWKSN4H/ETSS6CW2DN7D/E2SS5DWQDN7C/EJSS5CW4DN6D/E3DS4CW8DN3C,8.666667
17,1,right,9344711191398858084,NS,0,22,0,4,,,0,0,6DTDAD/QHAHQS/6H9HKH/TCKCAS,E2CSJCW4CN3C/S5DW4DN7CE7D/ETSS5SW8SN9S/E8CS6CW3HNQS/E6HSASW2HN5H/E7HSKCWADN4H/EJSSKDW4SNKS/N7SE6SS9DW3S/NTHEKHSJDWQD/E2SSTCWTDNQH/E3DS5CW6DNAH/W2DNJHE9HSAC/W8DN8HEQCS9C,8.666667
18,0,across,2298681937012504955,EW,4,0,20,2,,,0,0,QHKHAH/7CJCKD/THQSAS/TDJDKS,S2CWJCNTCEKS/W9SNASETSSJS/NADETDSQDW9D/NKCE7HS9CWAC/WKDN4DEJDS6D/W4SN6SE7SS8S/S5SW8CN3SE2S/S3CW5CN4CEJH/W6HN2HE5HSAH/S8HW4HNTHE3H/N3DE2DS5DWQC/SQHW9HNQSE7D/SKHW7CN6CE8D,7.333333
18,1,across,2298681937012504955,NS,0,26,26,26,N,cfr,0,0,3D4D6S/7CJCKD/QD8HTH/QCACKS,S2CW7CNTCEAC/EQCS9CWJCNKC/NQDE8DS5DW9D/NADE7DS4DWKD/N6CEJHS3CW5C/NAHE7HSQSW9H/NTHE5HSASW6H/NQHE3HS6SW4H/N8HEKSS8SWJD/NKHETSS3DWTD/N2HE7SSJSW9S/N3SE2SS5SW4S/S6DW8CN4CE2D,8.666667
19,0,hold,13699396756335703438,EW,17,4,5,0,,,0,0,///,S2CWQCNTCEAC/EADSTDW4DNKD/EJDS8DWJCNQD/N2DE3DS6DW8H/S4SW9SN6SEAS/E7HS4HW6HNAH/N7CE4CSKCW6C/S3CWKSN8CEQS/N9CETSS5CWJS/N3SE8SSKHW2S/ETHS3HW2HN9D/E5HSJHW7SN7D/SQHW5SN5DE9H,6.000000
19,1,hold,13699396756335703438,NS,0,23,3,0,,,1,0,///,S2CW6CN9CEAC/EJDSTDW4DN9D/EADS8DWJCNQD/E8SS4SW7SN3S/E4CS3CWQCN8C/W2SN6SETSS6D/EASSQHWKSNAH/E3DSJHW8HN2D/EQSS5CWJSN5D/ETHS4HW6HN7C/E9HSKHW2HNKD/S3HW9SNTCE7H/E5HSKCW5SN7D,6.666667
20,0,left,6653367501949350309,EW,9,0,0,17,,,0,0,ACKDKS/5C3D8D/KCJHAS/9DTD9H,W2CNTCEACS8C/E6SS3SW7SNAH/W4HN3HE2HSQS/WJHNKHE7HS9S/NQCETHS5CW7C/N4CEKDSTSW3C/N5DEQHS4DWKC/N6HE5HSADWAS/N9HE8HSQDWJS/N6DEKSS3DWJC/N7DE8SS2DW6C/N9DE4SS8DW9C/NTDE5SSJDW2S,-2.666667
20,1,left,6653367501949350309,NS,18,0,7,1,,,0,0,QCACKS/5C8DQH/8CKCJH/9DTD9H,W2CNTCEACS5C/E4SSTSWJSNAH/W7SNKHE6SSAS/SQHWJHN6HETH/S8DW4HN6DE3D/SQDWKCNTDEQC/SADWJCNKDEKS/SJDW9CN9DE8H/S4DW8CN7DE7H/N4CE5HSQSW3C/N5DE2HS2DW7C/N3HE8SS9SW6C/N9HE5SS3SW2S,-8.000000
21,0,right,18054082321272548792,EW,17,1,5,3,,,0,0,KDADKS/2CQCJD/9CQHAS/TD7HQS,N2CE9CSQDWKC/W8SN2SE6SS3S/W4CNTCE3CSQS/NJDEQHSTDWAD/W9DN2DEKHS8D/W6CNJCE8CS9S/NQCEACSTHW7C/E3HS5HWKDN8H/NJSE7SS7HW4S/N4HE2HS6HWKS/S3DW6DNAHEAS/W4DNJHETSS7D/S5DW5CN9HE5S,6.000000
